week,vendor,snap_total,dufb_total,wdfm_total,reported_sales
1_11_2025,Alba's Pupusas,0,0,168,268
1_11_2025,ATX Jerky,0,0,1,419
1_11_2025,Audrey's Pawstries,0,0,0,225
1_11_2025,Bonnet Farm,10,57,0,600
1_11_2025,Brazos Valley Cheese,0,0,0,1077
1_11_2025,Cha Community,0,0,10,655
1_11_2025,Chapultepec Farm,12,0,0,1132
1_11_2025,Chef Flaco's Salsa,33,0,0,800
1_11_2025,Don't Eat Beads,0,0,0,373
1_11_2025,Dresden Specialty Meats,0,0,0,950
1_11_2025,Fruits of Life,0,0,0,292
1_11_2025,Foundations Farm,0,0,0,174
1_11_2025,Hanhart Homestead,0,0,0,100
1_11_2025,Hay Ewe Ranch LLC,0,8,0,52
1_11_2025,Heritage Coffee,0,0,0,561
1_11_2025,Heritage Food Crafters,19,0,0,300
1_11_2025,Home Fries Cafe,0,0,10,274
1_11_2025,Hutto Soap & Candle Co,0,0,0,297
1_11_2025,Iron Bridge Coffee,0,0,0,330
1_11_2025,Katharos Baking Co,23,0,0,700
1_11_2025,Kurbside Coffee,0,0,0,295
1_11_2025,Luna Clean Food Cafe,8,0,0,320
1_11_2025,Macabre Maven,10,0,0,149
1_11_2025,Mike's Makes,0,0,0,468
1_11_2025,Muchos Tacos,0,0,0,1200
1_11_2025,No Label Mushrooms,17,22,0,596
1_11_2025,Norma's Florals,0,0,0,287
1_11_2025,Ohana Freeze Dried Market,10,0,0,585
1_11_2025,Pink Cheeks Studio,0,0,0,450
1_11_2025,Quesadilla Factory,0,0,15,425
1_11_2025,Rancho Martinez Kitchen,0,0,0,575
1_11_2025,Remedy Design Shop,0,0,0,230
1_11_2025,Rocky Gutter Homestead,0,0,0,650
1_11_2025,Round Rock Honey,0,0,0,350
1_11_2025,Sweet & Sourdough,61,0,0,573
1_11_2025,TLC Farms,0,0,0,500
1_11_2025,Tres Manos Coffee,0,0,0,345
1_11_2025,Valley Mills Vineyards,0,0,0,204
1_11_2025,World Hunger Relief,15,30,0,804
1_11_2025,Yallatizers,24,0,0,1100
1_11_2025,Yield Here Farms,0,0,0,166
1_18_2025,Alba's Pupusas,0,0,179,404
1_18_2025,Alili Bold Accessories,0,0,0,160
1_18_2025,ATX Jerky,14,0,0,1120
1_18_2025,Audrey's Pawstries,0,0,0,240
1_18_2025,Bonnet Farm,16,100,42,750
1_18_2025,Brazos Valley Cheese,15,0,0,1988
1_18_2025,Cha Community,0,0,0,763
1_18_2025,Chapultepec Farm,12,0,0,1096
1_18_2025,Chef Flaco's Salsa,0,0,0,800
1_18_2025,Churros la Catrina,14,0,0,800
1_18_2025,Copperhead Creek Jewelry,0,0,0,295
1_18_2025,Don't Eat Beads,0,0,0,151
1_18_2025,Fruits of Life,0,0,0,444
1_18_2025,For Keeps Coffee,0,0,0,484
1_18_2025,Foundations Farm,0,0,0,240
1_18_2025,Handmade Waco,0,0,0,326
1_18_2025,Hanhart Homestead,0,0,0,115
1_18_2025,Hay Ewe Ranch LLC,0,24,0,62
1_18_2025,Heritage Coffee,0,0,0,954
1_18_2025,Heritage Food Crafters,0,0,0,900
1_18_2025,Home Fries Cafe,0,0,0,342
1_18_2025,Iron Bridge Coffee,0,0,0,270
1_18_2025,Jolee French Art,0,0,0,235
1_18_2025,Katharos Baking Co,0,0,0,750
1_18_2025,Knots with Sofia,0,0,0,84
1_18_2025,Kurbside Coffee,0,0,0,645
1_18_2025,Little Threads by Emily,0,0,0,175
1_18_2025,Luna Clean Food Cafe,0,0,0,370
1_18_2025,Mama D's Pickles and Jams,19,0,106,250
1_18_2025,Mike's Makes,32,0,0,337
1_18_2025,Muchos Tacos,0,0,0,2430
1_18_2025,the New Plate,0,0,0,384
1_18_2025,No Label Mushrooms,8,61,0,925
1_18_2025,Ohana Freeze Dried Market,0,0,0,846
1_18_2025,Passion Gardens,0,0,16,125
