week,vendor,snap_total,dufb_total,wdfm_total,reported_sales
02_15_2025,Alba's Pupusas,0,0,100,200.0
02_15_2025,Alili Bold Accessories,0,0,0,140.0
02_15_2025,Anthem Stories,0,0,0,55.0
02_15_2025,ATX Jerky,58,0,0,766.0
02_15_2025,Audrey's Pawstries,0,0,0,0.0
02_15_2025,Bonnet Farm,7,37,0,700.0
02_15_2025,Bud's Lemonade,0,0,10,321.0
02_15_2025,Brazos Valley Cheese,0,0,0,2150.0
02_15_2025,Broken Grain Baking Co.,64,0,0,1500.0
02_15_2025,C323 Woodworking,0,0,0,600.0
02_15_2025,Cha Community,0,0,0,0.0
02_15_2025,Chapultepec Farm,0,0,0,523.0
02_15_2025,Chef Flaco's Salsa,0,0,0,800.0
02_15_2025,Churros la Catrina,0,0,0,950.0
02_15_2025,Copperhead Creek Jewelry,0,0,0,330.0
02_15_2025,Don't Eat Beads,0,0,0,220.0
02_15_2025,Dresden Specialty Meats,0,0,0,800.0
02_15_2025,Flora House,0,0,0,325.0
02_15_2025,Fruits of Life,0,0,0,173.0
02_15_2025,For Keeps Coffee,0,0,0,203.0
02_15_2025,Foundations Farm,22,0,0,275.0
02_15_2025,Hay Ewe Ranch LLC,0,0,0,38.0
02_15_2025,Heritage Coffee,0,0,0,801.0
02_15_2025,Heritage Food Crafters,0,0,0,835.0
02_15_2025,Home Fries Cafe,0,0,0,0.0
02_15_2025,Hutto Soap & Candle Co,0,0,0,180.0
02_15_2025,Iron Bridge Coffee,0,0,0,290.0
02_15_2025,Katharos Baking Co,0,0,0,625.0
02_15_2025,Knots with Sofia,0,0,0,0.0
02_15_2025,Kurbside Coffee,0,0,0,456.0
02_15_2025,Little Bexar Farm,0,87,0,1500.0
02_15_2025,Luna Clean Food Cafe,0,0,0,420.0
02_15_2025,Macabre Maven,0,0,0,161.0
02_15_2025,Mama D's Pickles and Jams,49,0,75,250.0
02_15_2025,Mike's Makes,5,0,0,650.0
02_15_2025,The Moody Goat,0,0,30,180.0
02_15_2025,Muchos Tacos,0,0,20,2258.0
02_15_2025,No Label Mushrooms,0,0,0,1216.0
02_15_2025,Norma's Florals,0,0,0,240.0
02_15_2025,Ohana Freeze Dried Market,0,0,0,522.0
02_15_2025,Passion Gardens,0,0,0,200.0
02_15_2025,Quesadilla Factory,0,0,0,850.0
02_15_2025,Rancho Martinez Kitchen,0,0,10,670.0
02_15_2025,Remedy Design Shop,0,0,0,500.0
02_15_2025,Rocky Gutter Homestead,0,0,0,675.0
02_15_2025,Round Rock Honey,7,0,0,384.0
02_15_2025,Shar's Plants & Jewelry,0,0,0,204.0
02_15_2025,Sison Tacos,0,0,0,400.0
02_15_2025,Southern Sisters Soaps,0,0,0,652.0
02_15_2025,Symphony Candle Co.,0,0,0,205.0
02_15_2025,Teresita's Birria,0,0,0,500.0
02_15_2025,TLC Farms,0,0,0,625.0
02_15_2025,Tres Manos Coffee,0,0,13,448.0
02_15_2025,Valley Mills Vineyards,0,0,0,465.0
02_15_2025,World Hunger Relief,0,17,0,639.0
02_15_2025,Yallatizers,8,0,15,1600.0
02_15_2025,Yield Here Farms,0,0,0,100.0
02_15_2025,Zandartistry,0,0,0,410.0
2_1_2025,Alba's Pupusas,0,0,195,415.0
2_1_2025,Alili Bold Accessories,0,0,0,105.0
2_1_2025,Anthem Stories,0,0,0,364.2
2_1_2025,ATX Jerky,0,0,0,1392.0
2_1_2025,Audrey's Pawstries,0,0,0,315.0
2_1_2025,Bonnet Farm,12,34,15,800.0
2_1_2025,Brazos Valley Cheese,0,0,0,2500.0
2_1_2025,Broken Grain Baking Co.,71,0,0,1850.0
2_1_2025,Cha Community,0,0,25,1200.0
2_1_2025,Chapultepec Farm,224,0,0,1269.0
2_1_2025,Chef Flaco's Salsa,0,0,0,900.0
2_1_2025,Churros la Catrina,0,0,0,1000.0
2_1_2025,Don't Eat Beads,0,0,0,156.0
2_1_2025,Dresden Specialty Meats,87,0,0,1600.0
2_1_2025,Flora House,0,0,0,675.0
2_1_2025,Fruits of Life,0,0,2,516.0
2_1_2025,For Keeps Coffee,0,0,0,370.0
2_1_2025,Foundations Farm,24,0,0,303.0
2_1_2025,Hanhart Homestead,0,0,0,200.0
2_1_2025,Hay Ewe Ranch LLC,0,8,0,72.0
2_1_2025,Heritage Coffee,0,0,0,975.0
2_1_2025,Heritage Food Crafters,0,0,0,1000.0
2_1_2025,Home Fries Cafe,0,0,0,498.0
2_1_2025,Hutto Soap & Candle Co,0,0,0,615.0
2_1_2025,Iron Bridge Coffee,0,0,0,410.0
2_1_2025,Kurbside Coffee,0,0,0,709.0
2_1_2025,Luna Clean Food Cafe,0,0,0,580.0
2_1_2025,Macabre Maven,0,0,0,166.0
2_1_2025,Mama D's Pickles and Jams,7,0,83,340.0
2_1_2025,Mike's Makes,0,0,0,0.0
2_1_2025,The Moody Goat,0,0,0,295.0
2_1_2025,Muchos Tacos,0,0,0,2800.0
2_1_2025,Newton's Luxe Pantry,0,0,0,642.0
2_1_2025,No Label Mushrooms,0,34,0,1252.0
2_1_2025,Norma's Florals,0,0,0,331.0
2_1_2025,Ohana Freeze Dried Market,25,0,0,991.0
2_1_2025,Passion Gardens,0,0,0,200.0
2_1_2025,Quesadilla Factory,0,0,20,1700.0
2_1_2025,Remedy Design Shop,0,0,0,2400.0
2_1_2025,Rocky Gutter Homestead,0,0,0,1150.0
2_1_2025,Round Rock Honey,0,0,22,275.0
2_1_2025,Shar's Plants & Jewelry,0,0,0,322.0
2_1_2025,Sison Tacos,0,0,31,590.0
2_1_2025,Southern Sisters Soaps,0,0,0,854.0
2_1_2025,TLC Farms,0,0,0,1150.0
2_1_2025,Tres Manos Coffee,0,0,8,336.0
2_1_2025,Valley Mills Vineyards,0,0,0,326.0
2_1_2025,Violette Bakery,0,0,0,700.0
2_1_2025,World Hunger Relief,0,4,0,511.0
2_1_2025,Yallatizers,39,0,0,2000.0
2_1_2025,Yield Here Farms,0,0,0,100.0
2_22_2025,Alba's Pupusas,0,0,122,285.0
2_22_2025,Alili Bold Accessories,0,0,0,320.0
2_22_2025,ATX Jerky,0,0,0,1123.0
2_22_2025,Audrey's Pawstries,0,0,0,325.0
2_22_2025,Bonnet Farm,31,4,0,700.0
2_22_2025,Brazos Valley Cheese,0,0,0,2496.0
2_22_2025,Broken Grain Baking Co.,10,0,0,1500.0
2_22_2025,Bud's Lemonade,0,0,0,208.0
2_22_2025,Cha Community,0,0,0,850.0
2_22_2025,Chapultepec Farm,0,0,0,577.0
2_22_2025,Chef Flaco's Salsa,11,0,0,900.0
2_22_2025,Clay by Denae,0,0,0,592.0
2_22_2025,Designs with Jamie,0,0,0,497.0
2_22_2025,Don't Eat Beads,0,0,0,498.0
2_22_2025,Dresden Specialty Meats,140,0,0,800.0
2_22_2025,Fruits of Life,0,0,0,566.0
2_22_2025,Ganske Farms,40,0,5,1175.0
2_22_2025,Handmade Waco,0,0,0,307.0
2_22_2025,Hay Ewe Ranch LLC,0,8,0,91.0
2_22_2025,Heritage Coffee,0,0,0,845.0
2_22_2025,Heritage Food Crafters,0,0,0,1200.0
2_22_2025,Hutto Soap & Candle Co,0,0,20,549.0
